epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.855,1.61856,1.88147,1.14347,0.25754,0.26069,0.21949,0.12612,1.50073,1.42949,1.11408,0.0670102,0.00033323,0.00033323
2,763.286,1.5559,1.54367,1.11026,0.32987,0.30785,0.26838,0.15679,1.45824,1.32566,1.08279,0.0340069,0.000663264,0.000663264
3,1128.61,1.50867,1.42463,1.08955,0.38245,0.32831,0.30545,0.18142,1.43001,1.26865,1.07331,0.0010003,0.000989998,0.000989998
4,1497.83,1.49907,1.37203,1.0835,0.40475,0.35569,0.3276,0.19229,1.43604,1.23094,1.0682,0.00098515,0.00098515,0.00098515
5,1854.71,1.48078,1.32269,1.07063,0.42639,0.35995,0.34248,0.20519,1.4,1.20417,1.05303,0.0009802,0.0009802,0.0009802
6,2218.77,1.46114,1.28079,1.06322,0.42577,0.35452,0.34017,0.20388,1.40808,1.19452,1.05705,0.00097525,0.00097525,0.00097525
7,2597.01,1.45569,1.26469,1.06403,0.42189,0.36004,0.34736,0.20764,1.41652,1.20535,1.05077,0.0009703,0.0009703,0.0009703
8,2988.3,1.4447,1.24831,1.05409,0.44802,0.38036,0.36365,0.21585,1.36971,1.15363,1.044,0.00096535,0.00096535,0.00096535
9,3350.2,1.4343,1.21745,1.05163,0.45724,0.37943,0.37313,0.22394,1.36436,1.13175,1.04315,0.0009604,0.0009604,0.0009604
10,3701.72,1.43005,1.211,1.04834,0.42836,0.3825,0.36772,0.22144,1.36091,1.12022,1.03524,0.00095545,0.00095545,0.00095545
11,4054.8,1.41047,1.18328,1.04461,0.47964,0.38488,0.3896,0.23427,1.34885,1.11638,1.03207,0.0009505,0.0009505,0.0009505
12,4405.56,1.41255,1.17379,1.04366,0.48531,0.38773,0.38807,0.23393,1.34772,1.09606,1.03346,0.00094555,0.00094555,0.00094555
13,4757.43,1.40571,1.16454,1.04063,0.48754,0.39852,0.40208,0.24289,1.32919,1.08625,1.0271,0.0009406,0.0009406,0.0009406
14,5109.73,1.40169,1.15677,1.03735,0.49089,0.3938,0.39505,0.23996,1.33561,1.07818,1.02314,0.00093565,0.00093565,0.00093565
15,5462.35,1.39365,1.14809,1.03477,0.46692,0.40449,0.40092,0.24382,1.32852,1.07791,1.02129,0.0009307,0.0009307,0.0009307
16,5814.44,1.39335,1.13092,1.03444,0.50013,0.40009,0.40702,0.24813,1.33045,1.06323,1.0183,0.00092575,0.00092575,0.00092575
17,6167.32,1.38605,1.12191,1.03028,0.47955,0.40672,0.41274,0.25033,1.32735,1.06857,1.0224,0.0009208,0.0009208,0.0009208
18,6518.58,1.38126,1.11145,1.0268,0.50084,0.41103,0.41975,0.25676,1.32054,1.05375,1.01957,0.00091585,0.00091585,0.00091585
19,6869.15,1.38005,1.11397,1.02698,0.49765,0.41159,0.41607,0.25436,1.32767,1.0587,1.02206,0.0009109,0.0009109,0.0009109
20,7221.42,1.37608,1.10455,1.02578,0.51171,0.40866,0.42688,0.26296,1.31104,1.03898,1.01715,0.00090595,0.00090595,0.00090595
21,7573.37,1.3769,1.10235,1.02463,0.50858,0.41353,0.42571,0.26184,1.304,1.0422,1.01258,0.000901,0.000901,0.000901
22,7925.49,1.36384,1.08772,1.0195,0.51208,0.41751,0.4273,0.2628,1.31006,1.03797,1.01164,0.00089605,0.00089605,0.00089605
23,8277.16,1.37343,1.09189,1.02285,0.50023,0.42181,0.42762,0.2639,1.3054,1.04225,1.01168,0.0008911,0.0008911,0.0008911
24,8629.29,1.36417,1.08201,1.02248,0.50899,0.41516,0.42792,0.2641,1.30713,1.03572,1.01091,0.00088615,0.00088615,0.00088615
25,8980.05,1.3653,1.07703,1.02127,0.51333,0.43078,0.4348,0.26703,1.30661,1.03105,1.01166,0.0008812,0.0008812,0.0008812
26,9330.8,1.36166,1.07713,1.01856,0.51841,0.42186,0.43309,0.26515,1.30837,1.02668,1.01007,0.00087625,0.00087625,0.00087625
27,9681.62,1.35375,1.06057,1.01603,0.52918,0.42282,0.44233,0.27134,1.29225,1.01002,1.00541,0.0008713,0.0008713,0.0008713
28,10031.9,1.35693,1.0634,1.01764,0.51905,0.4226,0.43565,0.26971,1.2934,1.01576,1.00647,0.00086635,0.00086635,0.00086635
29,10382.5,1.34801,1.05228,1.01325,0.52264,0.42705,0.44319,0.27408,1.3036,1.01053,1.00884,0.0008614,0.0008614,0.0008614
30,10733.5,1.35133,1.05692,1.01437,0.54064,0.43024,0.44739,0.27581,1.28764,1.00319,1.00403,0.00085645,0.00085645,0.00085645
31,11084.6,1.34543,1.04258,1.01389,0.53818,0.43257,0.44819,0.27735,1.29068,1.00318,1.00673,0.0008515,0.0008515,0.0008515
32,11436.8,1.34525,1.04447,1.0117,0.52419,0.43379,0.44875,0.2772,1.29003,0.99617,1.00561,0.00084655,0.00084655,0.00084655
33,11787.9,1.34207,1.03904,1.00979,0.53054,0.43517,0.45062,0.2804,1.29327,1.00039,1.00795,0.0008416,0.0008416,0.0008416
34,12138,1.33762,1.03777,1.01212,0.5334,0.43664,0.45563,0.27992,1.28913,0.98819,1.00224,0.00083665,0.00083665,0.00083665
35,12488,1.33873,1.03246,1.01039,0.53511,0.43707,0.45677,0.28261,1.28709,0.98423,1.00355,0.0008317,0.0008317,0.0008317
36,12838,1.33323,1.0265,1.00876,0.53549,0.43494,0.45201,0.27968,1.28559,0.98895,1.00149,0.00082675,0.00082675,0.00082675
37,13190.1,1.33756,1.02975,1.01001,0.53714,0.43116,0.45327,0.28179,1.27739,0.98665,1.00016,0.0008218,0.0008218,0.0008218
38,13541.4,1.33735,1.02352,1.00741,0.53308,0.44167,0.45732,0.2846,1.27519,0.98761,0.9988,0.00081685,0.00081685,0.00081685
39,13891.7,1.33432,1.02062,1.00765,0.52471,0.45254,0.45893,0.2851,1.27821,0.98688,1.00086,0.0008119,0.0008119,0.0008119
40,14241.6,1.32914,1.01327,1.00613,0.53923,0.44094,0.46295,0.28867,1.27724,0.98107,0.9999,0.00080695,0.00080695,0.00080695
41,14594,1.32576,1.00791,1.00484,0.53953,0.43661,0.46021,0.28489,1.27818,0.97274,0.99821,0.000802,0.000802,0.000802
42,14945.8,1.3302,1.01326,1.00539,0.54158,0.44825,0.46795,0.28951,1.27942,0.97445,0.99942,0.00079705,0.00079705,0.00079705
43,15297.5,1.32439,1.01274,1.00383,0.53678,0.44809,0.46746,0.28975,1.27383,0.97585,0.99887,0.0007921,0.0007921,0.0007921
